,Timestamp,id,lat,long,LastName,FirstName,CarID,CurrentEmploymentType,CurrentEmploymentTitle,time_delta_seconds,timestamp_salida,time_delta_minutes,weekend,workable_hour,workable_move,hour,moment_of_day,dates
5953,2014-01-09 03:20:01,1,36.06645717,24.88261133,Calixto,Nils,1.0,Information Technology,IT Helpdesk,14460.0,2014-01-09 07:21:01,241.0,False,False,False,3,Night,2014-01-09
6020,2014-01-09 07:23:04,1,36.06364873,24.885885899999998,Calixto,Nils,1.0,Information Technology,IT Helpdesk,1677.0,2014-01-09 07:51:01,27.95,False,True,True,7,Morning,2014-01-09
6352,2014-01-09 07:58:09,1,36.0480261,24.87957354,Calixto,Nils,1.0,Information Technology,IT Helpdesk,15052.0,2014-01-09 12:09:01,250.86666666666667,False,True,True,7,Morning,2014-01-09
6673,2014-01-09 12:17:17,1,36.0634869,24.85099848,Calixto,Nils,1.0,Information Technology,IT Helpdesk,5264.0,2014-01-09 13:45:01,87.73333333333333,False,True,True,12,Morning,2014-01-09
7013,2014-01-09 13:53:17,1,36.04802194,24.879571399999996,Calixto,Nils,1.0,Information Technology,IT Helpdesk,14084.0,2014-01-09 17:48:01,234.73333333333332,False,True,True,13,Afternoon,2014-01-09
7199,2014-01-09 17:52:03,1,36.06649647,24.88257847,Calixto,Nils,1.0,Information Technology,IT Helpdesk,50278.0,2014-01-10 07:50:01,837.9666666666667,False,True,True,17,Afternoon,2014-01-09
7271,2014-01-10 07:52:04,1,36.06369802,24.88594687,Calixto,Nils,1.0,Information Technology,IT Helpdesk,957.0,2014-01-10 08:08:01,15.95,False,True,True,7,Morning,2014-01-10
7609,2014-01-10 08:15:09,1,36.04803228,24.87956877,Calixto,Nils,1.0,Information Technology,IT Helpdesk,14752.0,2014-01-10 12:21:01,245.86666666666667,False,True,True,8,Morning,2014-01-10
7720,2014-01-10 12:23:05,1,36.05192667,24.87078047,Calixto,Nils,1.0,Information Technology,IT Helpdesk,3476.0,2014-01-10 13:21:01,57.93333333333333,False,True,True,12,Morning,2014-01-10
7822,2014-01-10 13:23:05,1,36.04803003,24.87956546,Calixto,Nils,1.0,Information Technology,IT Helpdesk,15056.0,2014-01-10 17:34:01,250.93333333333334,False,True,True,13,Afternoon,2014-01-10
8004,2014-01-10 17:38:03,1,36.06646524,24.88263679,Calixto,Nils,1.0,Information Technology,IT Helpdesk,5518.0,2014-01-10 19:10:01,91.96666666666667,False,True,True,17,Afternoon,2014-01-10
8359,2014-01-10 19:20:01,1,36.08547254,24.8604165,Calixto,Nils,1.0,Information Technology,IT Helpdesk,15120.0,2014-01-10 23:32:01,252.0,False,True,True,19,Evening,2014-01-10
8699,2014-01-10 23:39:32,1,36.06645991,24.88262309,Calixto,Nils,1.0,Information Technology,IT Helpdesk,46829.0,2014-01-11 12:40:01,780.4833333333333,False,False,False,23,Evening,2014-01-10
8991,2014-01-11 12:46:30,1,36.07666742,24.85757493,Calixto,Nils,1.0,Information Technology,IT Helpdesk,3271.0,2014-01-11 13:41:01,54.516666666666666,True,True,False,12,Morning,2014-01-11
9018,2014-01-11 13:41:32,1,36.07526672,24.85633534,Calixto,Nils,1.0,Information Technology,IT Helpdesk,6869.0,2014-01-11 15:36:01,114.48333333333333,True,True,False,13,Afternoon,2014-01-11
9323,2014-01-11 15:42:29,1,36.06650455,24.88260171,Calixto,Nils,1.0,Information Technology,IT Helpdesk,392.0,2014-01-11 15:49:01,6.533333333333333,True,True,False,15,Afternoon,2014-01-11
9324,2014-01-11 15:49:01,1,36.06643379,24.88261512,Calixto,Nils,1.0,Information Technology,IT Helpdesk,10380.0,2014-01-11 18:42:01,173.0,True,True,False,15,Afternoon,2014-01-11
9552,2014-01-11 18:47:07,1,36.05286975,24.86857115,Calixto,Nils,1.0,Information Technology,IT Helpdesk,3594.0,2014-01-11 19:47:01,59.9,True,True,False,18,Afternoon,2014-01-11
9769,2014-01-11 19:52:07,1,36.0664652,24.882618700000002,Calixto,Nils,1.0,Information Technology,IT Helpdesk,60774.0,2014-01-12 12:45:01,1012.9,True,True,False,19,Evening,2014-01-11
10066,2014-01-12 12:51:30,1,36.07664647,24.85764328,Calixto,Nils,1.0,Information Technology,IT Helpdesk,4771.0,2014-01-12 14:11:01,79.51666666666667,True,True,False,12,Morning,2014-01-12
10358,2014-01-12 14:17:26,1,36.06649666,24.88240653,Calixto,Nils,1.0,Information Technology,IT Helpdesk,3395.0,2014-01-12 15:14:01,56.583333333333336,True,True,False,14,Afternoon,2014-01-12
10359,2014-01-12 15:14:01,1,36.06646999,24.88262915,Calixto,Nils,1.0,Information Technology,IT Helpdesk,58920.0,2014-01-13 07:36:01,982.0,True,True,False,15,Afternoon,2014-01-12
10431,2014-01-13 07:38:04,1,36.06366818,24.88594298,Calixto,Nils,1.0,Information Technology,IT Helpdesk,1977.0,2014-01-13 08:11:01,32.95,False,True,True,7,Morning,2014-01-13
10744,2014-01-13 08:18:09,1,36.04802493,24.87957582,Calixto,Nils,1.0,Information Technology,IT Helpdesk,14212.0,2014-01-13 12:15:01,236.86666666666667,False,True,True,8,Morning,2014-01-13
11184,2014-01-13 12:24:27,1,36.07665029,24.85761023,Calixto,Nils,1.0,Information Technology,IT Helpdesk,4234.0,2014-01-13 13:35:01,70.56666666666666,False,True,True,12,Morning,2014-01-13
11622,2014-01-13 13:44:27,1,36.04803202,24.87957344,Calixto,Nils,1.0,Information Technology,IT Helpdesk,13534.0,2014-01-13 17:30:01,225.56666666666666,False,True,True,13,Afternoon,2014-01-13
11800,2014-01-13 17:34:03,1,36.06647209,24.88256778,Calixto,Nils,1.0,Information Technology,IT Helpdesk,4258.0,2014-01-13 18:45:01,70.96666666666667,False,True,True,17,Afternoon,2014-01-13
12003,2014-01-13 18:49:52,1,36.05197383,24.87082227,Calixto,Nils,1.0,Information Technology,IT Helpdesk,3969.0,2014-01-13 19:56:01,66.15,False,True,True,18,Afternoon,2014-01-13
12190,2014-01-13 20:00:51,1,36.06642539999999,24.88258372,Calixto,Nils,1.0,Information Technology,IT Helpdesk,550.0,2014-01-13 20:10:01,9.166666666666666,False,True,True,20,Evening,2014-01-13
12191,2014-01-13 20:10:01,1,36.06642351,24.88263852,Calixto,Nils,1.0,Information Technology,IT Helpdesk,40440.0,2014-01-14 07:24:01,674.0,False,True,True,20,Evening,2014-01-13
12258,2014-01-14 07:26:04,1,36.06366522,24.88592678,Calixto,Nils,1.0,Information Technology,IT Helpdesk,2277.0,2014-01-14 08:04:01,37.95,False,True,True,7,Morning,2014-01-14
12590,2014-01-14 08:11:09,1,36.04802608,24.87957318,Calixto,Nils,1.0,Information Technology,IT Helpdesk,14152.0,2014-01-14 12:07:01,235.86666666666667,False,True,True,8,Morning,2014-01-14
12949,2014-01-14 12:15:26,1,36.06582482,24.85237763,Calixto,Nils,1.0,Information Technology,IT Helpdesk,3995.0,2014-01-14 13:22:01,66.58333333333333,False,True,True,12,Morning,2014-01-14
13298,2014-01-14 13:30:26,1,36.0480304,24.87956808,Calixto,Nils,1.0,Information Technology,IT Helpdesk,15095.0,2014-01-14 17:42:01,251.58333333333334,False,True,True,13,Afternoon,2014-01-14
13483,2014-01-14 17:46:03,1,36.06650061,24.88263989,Calixto,Nils,1.0,Information Technology,IT Helpdesk,5998.0,2014-01-14 19:26:01,99.96666666666667,False,True,True,17,Afternoon,2014-01-14
13690,2014-01-14 19:31:01,1,36.05195224,24.87077075,Calixto,Nils,1.0,Information Technology,IT Helpdesk,6240.0,2014-01-14 21:15:01,104.0,False,True,True,19,Evening,2014-01-14
13901,2014-01-14 21:19:52,1,36.06646439,24.88259898,Calixto,Nils,1.0,Information Technology,IT Helpdesk,36789.0,2014-01-15 07:33:01,613.15,False,False,False,21,Evening,2014-01-14
13974,2014-01-15 07:35:04,1,36.06370161,24.88587843,Calixto,Nils,1.0,Information Technology,IT Helpdesk,1437.0,2014-01-15 07:59:01,23.95,False,True,True,7,Morning,2014-01-15
14300,2014-01-15 08:06:09,1,36.048024600000005,24.87957047,Calixto,Nils,1.0,Information Technology,IT Helpdesk,14452.0,2014-01-15 12:07:01,240.86666666666667,False,True,True,8,Morning,2014-01-15
14406,2014-01-15 12:09:05,1,36.05196283,24.87081616,Calixto,Nils,1.0,Information Technology,IT Helpdesk,4796.0,2014-01-15 13:29:01,79.93333333333334,False,True,True,12,Morning,2014-01-15
14517,2014-01-15 13:31:05,1,36.048022700000004,24.87957324,Calixto,Nils,1.0,Information Technology,IT Helpdesk,15416.0,2014-01-15 17:48:01,256.93333333333334,False,True,True,13,Afternoon,2014-01-15
14705,2014-01-15 17:52:03,1,36.06650575,24.88262679,Calixto,Nils,1.0,Information Technology,IT Helpdesk,6718.0,2014-01-15 19:44:01,111.96666666666667,False,True,True,17,Afternoon,2014-01-15
14924,2014-01-15 19:50:01,1,36.05195412,24.87080614,Calixto,Nils,1.0,Information Technology,IT Helpdesk,3000.0,2014-01-15 20:40:01,50.0,False,True,True,19,Evening,2014-01-15
15130,2014-01-15 20:44:49,1,36.06646755,24.88247774,Calixto,Nils,1.0,Information Technology,IT Helpdesk,492.0,2014-01-15 20:53:01,8.2,False,True,True,20,Evening,2014-01-15
15131,2014-01-15 20:53:01,1,36.06646555,24.88264295,Calixto,Nils,1.0,Information Technology,IT Helpdesk,6000.0,2014-01-15 22:33:01,100.0,False,True,True,20,Evening,2014-01-15
15304,2014-01-15 22:37:02,1,36.04803026,24.87957655,Calixto,Nils,1.0,Information Technology,IT Helpdesk,5519.0,2014-01-16 00:09:01,91.98333333333333,False,False,False,22,Evening,2014-01-15
15501,2014-01-16 00:13:02,1,36.06645318,24.88258761,Calixto,Nils,1.0,Information Technology,IT Helpdesk,22619.0,2014-01-16 06:30:01,376.98333333333335,False,False,False,0,Night,2014-01-16
15502,2014-01-16 06:30:01,1,36.06650603,24.88265687,Calixto,Nils,1.0,Information Technology,IT Helpdesk,4680.0,2014-01-16 07:48:01,78.0,False,True,True,6,Morning,2014-01-16
15569,2014-01-16 07:50:04,1,36.06367695,24.88595965,Calixto,Nils,1.0,Information Technology,IT Helpdesk,1197.0,2014-01-16 08:10:01,19.95,False,True,True,7,Morning,2014-01-16
15906,2014-01-16 08:17:09,1,36.04802432,24.8795747,Calixto,Nils,1.0,Information Technology,IT Helpdesk,14752.0,2014-01-16 12:23:01,245.86666666666667,False,True,True,8,Morning,2014-01-16
16060,2014-01-16 12:26:42,1,36.05573098,24.90250814,Calixto,Nils,1.0,Information Technology,IT Helpdesk,4039.0,2014-01-16 13:34:01,67.31666666666666,False,True,True,12,Morning,2014-01-16
16214,2014-01-16 13:37:42,1,36.04803004,24.87957338,Calixto,Nils,1.0,Information Technology,IT Helpdesk,13639.0,2014-01-16 17:25:01,227.31666666666666,False,True,True,13,Afternoon,2014-01-16
16387,2014-01-16 17:29:03,1,36.06648262,24.88263969,Calixto,Nils,1.0,Information Technology,IT Helpdesk,5098.0,2014-01-16 18:54:01,84.96666666666667,False,True,True,17,Afternoon,2014-01-16
16593,2014-01-16 18:58:52,1,36.05196718,24.87077113,Calixto,Nils,1.0,Information Technology,IT Helpdesk,5769.0,2014-01-16 20:35:01,96.15,False,True,True,18,Afternoon,2014-01-16
16799,2014-01-16 20:39:52,1,36.06648749,24.88261819,Calixto,Nils,1.0,Information Technology,IT Helpdesk,39909.0,2014-01-17 07:45:01,665.15,False,True,True,20,Evening,2014-01-16
16877,2014-01-17 07:47:04,1,36.0636714,24.88593517,Calixto,Nils,1.0,Information Technology,IT Helpdesk,1077.0,2014-01-17 08:05:01,17.95,False,True,True,7,Morning,2014-01-17
17194,2014-01-17 08:12:09,1,36.04802258,24.87956891,Calixto,Nils,1.0,Information Technology,IT Helpdesk,34792.0,2014-01-17 17:52:01,579.8666666666667,False,True,True,8,Morning,2014-01-17
17381,2014-01-17 17:56:03,1,36.06648869,24.88259679,Calixto,Nils,1.0,Information Technology,IT Helpdesk,5938.0,2014-01-17 19:35:01,98.96666666666667,False,True,True,17,Afternoon,2014-01-17
17587,2014-01-17 19:39:52,1,36.05196963,24.87081575,Calixto,Nils,1.0,Information Technology,IT Helpdesk,3069.0,2014-01-17 20:31:01,51.15,False,True,True,19,Evening,2014-01-17
17682,2014-01-17 20:33:05,1,36.04802866,24.87956523,Calixto,Nils,1.0,Information Technology,IT Helpdesk,7676.0,2014-01-17 22:41:01,127.93333333333334,False,True,True,20,Evening,2014-01-17
17872,2014-01-17 22:45:02,1,36.06644798,24.88261754,Calixto,Nils,1.0,Information Technology,IT Helpdesk,40619.0,2014-01-18 10:02:01,676.9833333333333,False,False,False,22,Evening,2014-01-17
17873,2014-01-18 10:02:01,1,36.06648797,24.88263248,Calixto,Nils,1.0,Information Technology,IT Helpdesk,9960.0,2014-01-18 12:48:01,166.0,True,True,False,10,Morning,2014-01-18
18144,2014-01-18 12:55:05,1,36.06342446,24.85097868,Calixto,Nils,1.0,Information Technology,IT Helpdesk,2456.0,2014-01-18 13:36:01,40.93333333333333,True,True,False,12,Morning,2014-01-18
18178,2014-01-18 13:36:43,1,36.06583636,24.84981343,Calixto,Nils,1.0,Information Technology,IT Helpdesk,8478.0,2014-01-18 15:58:01,141.3,True,True,False,13,Afternoon,2014-01-18
18465,2014-01-18 16:04:26,1,36.06642691,24.88259737,Calixto,Nils,1.0,Information Technology,IT Helpdesk,8435.0,2014-01-18 18:25:01,140.58333333333334,True,True,False,16,Afternoon,2014-01-18
18672,2014-01-18 18:29:52,1,36.05193779,24.87081229,Calixto,Nils,1.0,Information Technology,IT Helpdesk,3669.0,2014-01-18 19:31:01,61.15,True,True,False,18,Afternoon,2014-01-18
18882,2014-01-18 19:37:01,1,36.06641461,24.8826145,Calixto,Nils,1.0,Information Technology,IT Helpdesk,82140.0,2014-01-19 18:26:01,1369.0,True,True,False,19,Evening,2014-01-18
19098,2014-01-19 18:31:01,1,36.05195164,24.87077544,Calixto,Nils,1.0,Information Technology,IT Helpdesk,4860.0,2014-01-19 19:52:01,81.0,True,True,False,18,Afternoon,2014-01-19
19454,2014-01-06 07:34:22,2,36.08179517,24.8509318,Azada,Lars,2.0,Engineering,Engineer,2199.0,2014-01-06 08:11:01,36.65,False,True,True,7,Morning,2014-01-06
20353,2014-01-06 08:31:11,2,36.04802319,24.87957127,Azada,Lars,2.0,Engineering,Engineer,13550.0,2014-01-06 12:17:01,225.83333333333334,False,True,True,8,Morning,2014-01-06
20514,2014-01-06 12:20:42,2,36.05581052,24.90257256,Azada,Lars,2.0,Engineering,Engineer,3919.0,2014-01-06 13:26:01,65.31666666666666,False,True,True,12,Morning,2014-01-06
20666,2014-01-06 13:29:42,2,36.0480314,24.87956725,Azada,Lars,2.0,Engineering,Engineer,13639.0,2014-01-06 17:17:01,227.31666666666666,False,True,True,13,Afternoon,2014-01-06
21149,2014-01-06 17:27:28,2,36.08544307,24.86037498,Azada,Lars,2.0,Engineering,Engineer,5253.0,2014-01-06 18:55:01,87.55,False,True,True,17,Afternoon,2014-01-06
21242,2014-01-06 19:00:01,2,36.07668681,24.85759331,Azada,Lars,2.0,Engineering,Engineer,6540.0,2014-01-06 20:49:01,109.0,False,True,True,19,Evening,2014-01-06
21319,2014-01-06 20:52:01,2,36.08546145,24.86045479,Azada,Lars,2.0,Engineering,Engineer,40200.0,2014-01-07 08:02:01,670.0,False,True,True,20,Evening,2014-01-06
21468,2014-01-07 08:06:22,2,36.08181374,24.85094151,Azada,Lars,2.0,Engineering,Engineer,699.0,2014-01-07 08:18:01,11.65,False,True,True,8,Morning,2014-01-07
22374,2014-01-07 08:38:10,2,36.04807086,24.87956659,Azada,Lars,2.0,Engineering,Engineer,630.0,2014-01-07 08:48:40,10.5,False,True,True,8,Morning,2014-01-07
22375,2014-01-07 08:48:40,2,36.04803206,24.879565399999997,Azada,Lars,2.0,Engineering,Engineer,11781.0,2014-01-07 12:05:01,196.35,False,True,True,8,Morning,2014-01-07
22700,2014-01-07 12:13:17,2,36.06349075,24.85098288,Azada,Lars,2.0,Engineering,Engineer,4244.0,2014-01-07 13:24:01,70.73333333333333,False,True,True,12,Morning,2014-01-07
23034,2014-01-07 13:32:17,2,36.04802666,24.87956661,Azada,Lars,2.0,Engineering,Engineer,14324.0,2014-01-07 17:31:01,238.73333333333332,False,True,True,13,Afternoon,2014-01-07
23530,2014-01-07 17:41:28,2,36.08549505,24.86042861,Azada,Lars,2.0,Engineering,Engineer,3933.0,2014-01-07 18:47:01,65.55,False,True,True,17,Afternoon,2014-01-07
23620,2014-01-07 18:49:13,2,36.07669478,24.85764132,Azada,Lars,2.0,Engineering,Engineer,4848.0,2014-01-07 20:10:01,80.8,False,True,True,18,Afternoon,2014-01-07
23717,2014-01-07 20:12:13,2,36.08546852,24.8604552,Azada,Lars,2.0,Engineering,Engineer,41448.0,2014-01-08 07:43:01,690.8,False,True,True,20,Evening,2014-01-07
23864,2014-01-08 07:47:22,2,36.08178968,24.85087698,Azada,Lars,2.0,Engineering,Engineer,1119.0,2014-01-08 08:06:01,18.65,False,True,True,7,Morning,2014-01-08
24775,2014-01-08 08:26:11,2,36.04803015,24.87957113,Azada,Lars,2.0,Engineering,Engineer,12890.0,2014-01-08 12:01:01,214.83333333333334,False,True,True,8,Morning,2014-01-08
25116,2014-01-08 12:09:17,2,36.06348315,24.85099366,Azada,Lars,2.0,Engineering,Engineer,5624.0,2014-01-08 13:43:01,93.73333333333333,False,True,True,12,Morning,2014-01-08
25418,2014-01-08 13:51:17,2,36.04802108,24.87957417,Azada,Lars,2.0,Engineering,Engineer,11744.0,2014-01-08 17:07:01,195.73333333333332,False,True,True,13,Afternoon,2014-01-08
25903,2014-01-08 17:17:28,2,36.08542103,24.8604055,Azada,Lars,2.0,Engineering,Engineer,3573.0,2014-01-08 18:17:01,59.55,False,True,True,17,Afternoon,2014-01-08
25993,2014-01-08 18:20:01,2,36.0766391,24.85761114,Azada,Lars,2.0,Engineering,Engineer,3900.0,2014-01-08 19:25:01,65.0,False,True,True,18,Afternoon,2014-01-08
26069,2014-01-08 19:27:13,2,36.08542566,24.86038173,Azada,Lars,2.0,Engineering,Engineer,45228.0,2014-01-09 08:01:01,753.8,False,True,True,19,Evening,2014-01-08
26202,2014-01-09 08:05:22,2,36.08177472,24.85093849,Azada,Lars,2.0,Engineering,Engineer,999.0,2014-01-09 08:22:01,16.65,False,True,True,8,Morning,2014-01-09
27121,2014-01-09 08:42:11,2,36.04803285,24.8795673,Azada,Lars,2.0,Engineering,Engineer,12950.0,2014-01-09 12:18:01,215.83333333333334,False,True,True,8,Morning,2014-01-09
27273,2014-01-09 12:21:42,2,36.05583745,24.9025538,Azada,Lars,2.0,Engineering,Engineer,4939.0,2014-01-09 13:44:01,82.31666666666666,False,True,True,12,Morning,2014-01-09
27435,2014-01-09 13:47:42,2,36.04802251,24.87956973,Azada,Lars,2.0,Engineering,Engineer,12679.0,2014-01-09 17:19:01,211.31666666666666,False,True,True,13,Afternoon,2014-01-09
27919,2014-01-09 17:29:28,2,36.08542765,24.86039061,Azada,Lars,2.0,Engineering,Engineer,51153.0,2014-01-10 07:42:01,852.55,False,True,True,17,Afternoon,2014-01-09
28065,2014-01-10 07:46:22,2,36.08175,24.85087104,Azada,Lars,2.0,Engineering,Engineer,1539.0,2014-01-10 08:12:01,25.65,False,True,True,7,Morning,2014-01-10
28993,2014-01-10 08:32:10,2,36.04806989,24.87957536,Azada,Lars,2.0,Engineering,Engineer,1895.0,2014-01-10 09:03:45,31.583333333333332,False,True,True,8,Morning,2014-01-10
28994,2014-01-10 09:03:45,2,36.04803013,24.87957407,Azada,Lars,2.0,Engineering,Engineer,11116.0,2014-01-10 12:09:01,185.26666666666668,False,True,True,9,Morning,2014-01-10
29258,2014-01-10 12:15:16,2,36.05978884,24.85803555,Azada,Lars,2.0,Engineering,Engineer,5325.0,2014-01-10 13:44:01,88.75,False,True,True,12,Morning,2014-01-10
29509,2014-01-10 13:50:16,2,36.04803114,24.87956576,Azada,Lars,2.0,Engineering,Engineer,11745.0,2014-01-10 17:06:01,195.75,False,True,True,13,Afternoon,2014-01-10
29999,2014-01-10 17:16:28,2,36.08543213,24.86044122,Azada,Lars,2.0,Engineering,Engineer,5133.0,2014-01-10 18:42:01,85.55,False,True,True,17,Afternoon,2014-01-10
30075,2014-01-10 18:44:13,2,36.07662408,24.85757944,Azada,Lars,2.0,Engineering,Engineer,3948.0,2014-01-10 19:50:01,65.8,False,True,True,18,Afternoon,2014-01-10
30158,2014-01-10 19:52:13,2,36.08544851,24.86045605,Azada,Lars,2.0,Engineering,Engineer,80388.0,2014-01-11 18:12:01,1339.8,False,True,True,19,Evening,2014-01-10
30252,2014-01-11 18:14:13,2,36.07664054,24.85761429,Azada,Lars,2.0,Engineering,Engineer,8088.0,2014-01-11 20:29:01,134.8,True,True,False,18,Afternoon,2014-01-11
30348,2014-01-11 20:34:01,2,36.08545478,24.86044242,Azada,Lars,2.0,Engineering,Engineer,78840.0,2014-01-12 18:28:01,1314.0,True,True,False,20,Evening,2014-01-11
30448,2014-01-12 18:30:13,2,36.0766301,24.85759571,Azada,Lars,2.0,Engineering,Engineer,3588.0,2014-01-12 19:30:01,59.8,True,True,False,18,Afternoon,2014-01-12
30547,2014-01-12 19:32:13,2,36.08543268,24.8603992,Azada,Lars,2.0,Engineering,Engineer,43608.0,2014-01-13 07:39:01,726.8,True,True,False,19,Evening,2014-01-12
30697,2014-01-13 07:43:22,2,36.08173542,24.85095878,Azada,Lars,2.0,Engineering,Engineer,1119.0,2014-01-13 08:02:01,18.65,False,True,True,7,Morning,2014-01-13
31631,2014-01-13 08:22:11,2,36.04802681,24.87957609,Azada,Lars,2.0,Engineering,Engineer,12950.0,2014-01-13 11:58:01,215.83333333333334,False,True,True,8,Morning,2014-01-13
